destination,flight_number,airline,gate,status,time,date,direction
Larnaca,GF947,Gulf Air,18A,Landed,10:53                                                        10:50,2025-02-26,arrivals
Trivandrum,IX573,Air India Express,13A,Landed,11:01                                                        11:00,2025-02-26,arrivals
Athens,GF048,Gulf Air,15B,Landed,11:10                                                        11:25,2025-02-26,arrivals
Doha,GF525,Gulf Air,15A,Landed,11:53                                                        12:15,2025-02-26,arrivals
Dammam,GF104,Gulf Air,17A,Delayed,14:22                                                        12:25,2025-02-26,arrivals
Kuwait,GF214,Gulf Air,13B,Landed,12:53                                                        12:45,2025-02-26,arrivals
Dhaka,GF251,Gulf Air,14A-B,Landed,14:07                                                        13:05,2025-02-26,arrivals
Alqassim,GF188,Gulf Air,19B,Landed,12:46                                                        13:10,2025-02-26,arrivals
Dubai,GF505,Gulf Air,13A,Landed,13:12                                                        13:20,2025-02-26,arrivals
Najaf,GF204,Gulf Air,11A,Landed,13:02                                                        13:20,2025-02-26,arrivals
Riyadh,GF164,Gulf Air,18B,Landed,13:07                                                        13:20,2025-02-26,arrivals
Dubai,FZ021,FlyDubai,15A,Delayed,14:45                                                        14:30,2025-02-26,arrivals
Muscat,WY655,Oman Air,12A,Early,14:49                                                        14:50,2025-02-26,arrivals
Moscow,GF013,Gulf Air,19B,Early,14:39                                                        15:05,2025-02-26,arrivals
Almadina,GF180,Gulf Air,17B,Early,14:36                                                        15:05,2025-02-26,arrivals
Abu Dhabi,EY643,Al Etihad,11B,On Time,15:05,2025-02-26,arrivals
Kuwait,J9101,Jazeera Airways,11A,On Time,15:40,2025-02-26,arrivals
Jeddah,GF172,Gulf Air,18B,On Time,15:45,2025-02-26,arrivals
Prague,QS4124,Travel Service Airlines,13B,On Time,15:55,2025-02-26,arrivals
Kuwait,KU615,Kuwait Airways,19A,On Time,16:15,2025-02-26,arrivals
Dubai,EK839,Emirates,15A-B,On Time,16:20,2025-02-26,arrivals
Doha,QR1110,Qatar Airways,12A,On Time,16:20,2025-02-26,arrivals
Manila,GF155,Gulf Air,21A-B,On Time,16:35,2025-02-26,arrivals
Riyadh,SV520,Saudi Arabian Airlines,17A,On Time,16:35,2025-02-26,arrivals
Riyadh,GF190,Gulf Air,17B,On Time,16:55,2025-02-26,arrivals
Sharjah,G9103,Air Arabia,11A,On Time,17:10,2025-02-26,arrivals
Dubai,FZ027,FlyDubai,13A,On Time,17:30,2025-02-26,arrivals
Jeddah,GF184,Gulf Air,20B,On Time,18:15,2025-02-26,arrivals
Abu Dhabi,3L017,Air Arabia Abu Dhabi,11A,On Time,18:20,2025-02-26,arrivals
Frankfurt,GF016,Gulf Air,16A,On Time,19:00,2025-02-26,arrivals
Riyadh,XY233,Flynas,13B,On Time,19:00,2025-02-26,arrivals
Doha,GF527,Gulf Air,12B,On Time,19:05,2025-02-26,arrivals
London,GF002,Gulf Air,22A-B,Early,18:45                                                        19:10,2025-02-26,arrivals
Lahore,GF767,Gulf Air,15B,On Time,19:10,2025-02-26,arrivals
Riyadh,GF168,Gulf Air,13A,On Time,19:15,2025-02-26,arrivals
Munich,GF086,Gulf Air,21A,On Time,19:20,2025-02-26,arrivals
Paris,GF018,Gulf Air,16B,On Time,19:25,2025-02-26,arrivals
Dubai,GF509,Gulf Air,A4,On Time,19:30,2025-02-26,arrivals
Dammam,GF110,Gulf Air,17B,On Time,19:30,2025-02-26,arrivals
Abu Dhabi,GF545,Gulf Air,17A,On Time,19:35,2025-02-26,arrivals
Sharjah,G9105,Air Arabia,11A,On Time,19:40,2025-02-26,arrivals
Delhi,IX145,Air India Express,12A,Delayed,20:17                                                        19:50,2025-02-26,arrivals
Alqassim,GF186,Gulf Air,18B,On Time,19:50,2025-02-26,arrivals
Rome,GF026,Gulf Air,15A,On Time,20:00,2025-02-26,arrivals
Manchester,GF004,Gulf Air,19A-B,On Time,20:00,2025-02-26,arrivals
Kuwait,GF216,Gulf Air,20A,On Time,20:00,2025-02-26,arrivals
Cairo,GF070,Gulf Air,A4,On Time,20:15,2025-02-26,arrivals
Dubai,FZ025,FlyDubai,11B,On Time,20:20,2025-02-26,arrivals
Amman,GF963,Gulf Air,A3,On Time,20:20,2025-02-26,arrivals
Istanbul,GF044,Gulf Air,13B,On Time,20:20,2025-02-26,arrivals
Doha,QR1108,Qatar Airways,12B,On Time,20:50,2025-02-26,arrivals
Shanghai,GF125,Gulf Air,21A-B,Early,20:45                                                        20:55,2025-02-26,arrivals
Doha,GF529,Gulf Air,11A,On Time,21:05,2025-02-26,arrivals
Abu Dhabi,EY645,Al Etihad,14B,On Time,21:35,2025-02-26,arrivals
Dubai,GF511,Gulf Air,17A,On Time,21:45,2025-02-26,arrivals
Male,GF145,Gulf Air,15A,On Time,22:10,2025-02-26,arrivals
Mumbai,6E1201,IndiGo Airlines,13B,On Time,22:45,2025-02-26,arrivals
Bangkok,GF153,Gulf Air,18A-B,On Time,22:55,2025-02-26,arrivals
Dammam,GF112,Gulf Air,17B,On Time,23:10,2025-02-26,arrivals
Mumbai,GF065,Gulf Air,20B,On Time,23:15,2025-02-26,arrivals
Doha,GF531,Gulf Air,12A,On Time,23:25,2025-02-26,arrivals
Riyadh,GF170,Gulf Air,20A,On Time,23:35,2025-02-26,arrivals
Abu Dhabi,GF547,Gulf Air,12B,On Time,23:45,2025-02-26,arrivals
Calicut,IX473,Air India Express,16A,Delayed,23:49                                                        23:45,2025-02-26,arrivals
Jeddah,GF174,Gulf Air,14A,On Time,23:50,2025-02-26,arrivals
Delhi,GF135,Gulf Air,13A,On Time,23:55,2025-02-26,arrivals
Kuwait,GF220,Gulf Air,19B,On Time,23:55,2025-02-26,arrivals
Singapore,GF166,Gulf Air,22A-B,On Time,23:55,2025-02-26,arrivals
Dubai,GF513,Gulf Air,14B,On Time,23:59,2025-02-26,arrivals
London,BA125,British Airways,11A-B,On Time,00:05,2025-02-27,arrivals
Trivandrum,GF063,Gulf Air,19A,On Time,00:10,2025-02-27,arrivals
Muscat,GF567,Gulf Air,18A,On Time,00:29,2025-02-27,arrivals
Bangalore,GF281,Gulf Air,13B,On Time,00:30,2025-02-27,arrivals
Goa,GF287,Gulf Air,18B,On Time,00:40,2025-02-27,arrivals
Dubai,FZ029,FlyDubai,15A,On Time,00:40,2025-02-27,arrivals
Istanbul,TK778,Turkish Airlines,16A,On Time,01:05,2025-02-27,arrivals
,U55361,,A1,On Time,02:05,2025-02-27,arrivals
Dubai,EK835,Emirates,15A-B,On Time,02:25,2025-02-27,arrivals
Abu Dhabi,EY647,Al Etihad,17A,On Time,02:30,2025-02-27,arrivals
Sabiha Gokcen,VF125,AJet,18A,On Time,02:55,2025-02-27,arrivals
Doha,QR1116,Qatar Airways,16A,On Time,03:05,2025-02-27,arrivals
Sharjah,G9107,Air Arabia,16B,On Time,04:10,2025-02-27,arrivals
London,GF006,Gulf Air,22A-B,On Time,07:20,2025-02-27,arrivals
Kochi,GF271,Gulf Air,18B,On Time,07:30,2025-02-27,arrivals
Bangalore,GF283,Gulf Air,13B,On Time,07:35,2025-02-27,arrivals
Dubai,FZ023,FlyDubai,12A,On Time,07:40,2025-02-27,arrivals
Dammam,GF102,Gulf Air,17B,On Time,07:55,2025-02-27,arrivals
Delhi,GF131,Gulf Air,18A,On Time,08:00,2025-02-27,arrivals
Jeddah,GF182,Gulf Air,16A,On Time,08:05,2025-02-27,arrivals
Dubai,GF501,Gulf Air,13A,On Time,08:05,2025-02-27,arrivals
Muscat,GF561,Gulf Air,17A,On Time,08:05,2025-02-27,arrivals
Cairo,GF080,Gulf Air,20B,On Time,08:05,2025-02-27,arrivals
Mumbai,GF057,Gulf Air,20A,On Time,08:10,2025-02-27,arrivals
Riyadh,GF162,Gulf Air,16B,On Time,08:15,2025-02-27,arrivals
Kuwait,GF212,Gulf Air,19B,On Time,08:15,2025-02-27,arrivals
Chennai,GF069,Gulf Air,21B,On Time,08:20,2025-02-27,arrivals
Sharjah,G9101,Air Arabia,12B,On Time,08:25,2025-02-27,arrivals
Riyadh,XY237,Flynas,11A,On Time,08:30,2025-02-27,arrivals
Dubai,EK837,Emirates,15A-B,On Time,08:40,2025-02-27,arrivals
Abu Dhabi,3L015,Air Arabia Abu Dhabi,12A,On Time,09:25,2025-02-27,arrivals
Doha,QR1102,Qatar Airways,18A,On Time,09:40,2025-02-27,arrivals
Istanbul,GF046,Gulf Air,19A,On Time,10:15,2025-02-27,arrivals
Najaf,IA681,Iraqi Airways,15B,On Time,10:30,2025-02-27,arrivals
Baku,J2505,Azerbaijan Airlines,15A,On Time,10:50,2025-02-27,arrivals
Kochi,IX471,Air India Express,16B,On Time,11:05,2025-02-27,arrivals
Jeddah,SV528,Saudi Arabian Airlines,16A,On Time,11:15,2025-02-27,arrivals
Athens,GF048,Gulf Air,19B,On Time,11:25,2025-02-27,arrivals
Doha,GF525,Gulf Air,15B,On Time,12:15,2025-02-27,arrivals
Dammam,GF104,Gulf Air,21A,On Time,12:25,2025-02-27,arrivals
Kuwait,GF214,Gulf Air,16B,On Time,12:45,2025-02-27,arrivals
Dhaka,GF251,Gulf Air,18B,On Time,13:05,2025-02-27,arrivals
Riyadh,GF164,Gulf Air,21B,On Time,13:20,2025-02-27,arrivals
